LOCATION,SUBURB,Reason Code,Audit Date,Start_Lat,Start_Lng,End_Lat,End_Lng
Esplanade,MOUNT MARTHA,ABCD,2024-07-01 00:00:00,-38.2831008,144.9949519,-38.2831008,144.9949519
Esplanade,ALTONA,B,2023-08-01 00:00:00,-37.8705734,144.8285495,-37.8705734,144.8285495
Essex Street,WEST FOOTSCRAY,C,2023-08-01 00:00:00,-37.7934587,144.8761607,-37.7934587,144.8761607
Ester Street,GREENSBOROUGH,BCD,2024-08-01 00:00:00,-37.705349,145.098847,-37.705349,145.098847
Etiwanda Avenue,MILDURA,ABCD,2024-08-01 00:00:00,-34.2241317,142.1352315,-34.2241317,142.1352315
Eureka Street,BALLARAT EAST,ABC,2024-08-01 00:00:00,-37.565622,143.8871166,-37.565622,143.8871166
Euroa-Mansfield Road,EUROA,ABC,2024-04-01 00:00:00,-36.8111359,145.5694021,-36.8111359,145.5694021
Euroa-Mansfield Road,GOORAM,ABC,2024-04-01 00:00:00,-36.8780037,145.6164408,-36.8780037,145.6164408
Euroa-Mansfield Road,MERTON,C,2024-04-01 00:00:00,-36.9278144,145.6557101,-36.9278144,145.6557101
Euroa-Shepparton Road,EUROA,C,2024-04-01 00:00:00,-36.7189563,145.5373654,-36.7189563,145.5373654
Euroa-Shepparton Road,MIEPOLL,C,2024-08-01 00:00:00,-36.6219162,145.4712173,-36.6219162,145.4712173
Everleigh Drive,DIAMOND CREEK,BD,2024-08-01 00:00:00,-37.6625687,145.1546627,-37.6625687,145.1546627
Exford Road,EXFORD,ABCD,2024-05-02 00:00:00,-37.7445973,144.5489547,-37.7445973,144.5489547
Exford Road,MELTON SOUTH,C,2024-05-02 00:00:00,-37.713499,144.5730919,-37.713499,144.5730919
Eynesbury Road,EYNESBURY,BC,2024-05-02 00:00:00,-37.7718634,144.5632451,-37.7718634,144.5632451
Eyre Street,ECHUCA,C,2024-05-02 00:00:00,-36.1343134,144.7526261,-36.1343134,144.7526261
Fairbairn Road,SUNSHINE WEST,BCD,2024-06-01 00:00:00,-37.8047075,144.8188604,-37.8047075,144.8188604
Fairbank Road,CLAYTON SOUTH,ABCD,2024-03-01 00:00:00,-37.9417895,145.1282714,-37.9417895,145.1282714
Federation Way,BOWSER,ABC,2024-05-02 00:00:00,-36.3059247,146.3626661,-36.3059247,146.3626661
Fellmongers Road,BREAKWATER,ABCD,2024-08-01 00:00:00,-38.1796078,144.3753777,-38.1796078,144.3753777
Felltimber Creek Road,WODONGA,BC,2024-10-01 00:00:00,-36.1331444,146.8488056,-36.1331444,146.8488056
Ferntree Gully Road,FERNTREE GULLY,A,2024-03-01 00:00:00,-37.8875209,145.2645165,-37.8875209,145.2645165
Ferntree Gully Road,WHEELERS HILL,ABCD,2023-11-01 00:00:00,-37.9062159,145.1846256,-37.9062159,145.1846256
Ferntree Gully Road,CLAYTON,ABCD,T,-37.9005366,145.1361514,-37.9005366,145.1361514
Ferris Road,MELTON SOUTH,C,2024-05-02 00:00:00,-37.712712,144.6008327,-37.712712,144.6008327
Field Street,RYE,C,2024-09-01 00:00:00,-38.3762053,144.8364061,-38.3762053,144.8364061
Fifteenth Street,MILDURA,ABCD,2024-06-01 00:00:00,-34.2256343,142.1590037,-34.2256343,142.1590037
Fifteenth Street,IRYMPLE,AC,2024-08-01 00:00:00,-34.2310224,142.1655671,-34.2343137,142.1697304
Finch Street,MALVERN EAST,ABCD,2024-06-01 00:00:00,-37.8685008,145.0438672,-37.8685008,145.0438672
Findon Road,SOUTH MORANG,BC,2024-08-01 00:00:00,-37.6477004,145.0897724,-37.6477004,145.0897724
Findon Road,EPPING,BCD,2024-08-01 00:00:00,-37.6394411,145.0463977,-37.6394411,145.0463977
Finlayson Street,ROSANNA,B,2024-08-01 00:00:00,-37.7355186,145.0706121,-37.7355186,145.0706121
Fischer Street,TORQUAY,ABCD,2024-08-01 00:00:00,-38.3187216,144.3273143,-38.3187216,144.3273143
Fisken Street,BACCHUS MARSH,ABCD,2024-08-01 00:00:00,-37.6866635,144.442719,-37.6866635,144.442719
Fitzgerald Road,DERRIMUT,BCD,2024-06-01 00:00:00,-37.7982063,144.7894854,-37.7982063,144.7894854
Fitzgerald Road,SUNSHINE WEST,BCD,2024-06-01 00:00:00,-37.7989837,144.7893703,-37.7989837,144.7893703
Fitzroy Avenue,RED CLIFFS,ABCD,2024-03-01 00:00:00,-34.3011396,142.1945957,-34.3011396,142.1945957
Fitzsimons Lane,TEMPLESTOWE,AC,2024-06-01 00:00:00,-37.7429271,145.1365194,-37.7429271,145.1365194
Flaxen Hills Road,DOREEN,BC,2024-08-01 00:00:00,-37.5882153,145.1318978,-37.5882153,145.1318978
Flaxman Street,WARRNAMBOOL,ABCD,2023-11-01 00:00:00,-38.3885037,142.5002766,-38.3885037,142.5002766
Fletcher Street,ESSENDON,BCD,2024-08-01 00:00:00,-37.7555896,144.9229116,-37.7555896,144.9229116
Flora Avenue,MILDURA,ABCD,2024-08-01 00:00:00,-34.169199,142.1323991,-34.169199,142.1323991
Forest Red Gum Drive,MICKLEHAM,ABC,2024-08-01 00:00:00,-37.5537721,144.899166,-37.5537721,144.899166
Forrest Street,ALBION,BC,2024-05-02 00:00:00,-37.784208,144.8161235,-37.784208,144.8161235
Forrest Street,ARDEER,BC,2024-05-02 00:00:00,-37.7830045,144.8046167,-37.7830045,144.8046167
Fosters Road,KEILOR PARK,BCD,2024-06-01 00:00:00,-37.7204852,144.8537797,-37.7204852,144.8537797
Fourteenth Street,MILDURA,ABCD,2024-08-01 00:00:00,-34.1816463,142.1269264,-34.1816463,142.1269264
Fourteenth Street,IRYMPLE,C,2024-08-01 00:00:00,-34.2295113,142.184359,-34.2295113,142.184359
Frankston-Dandenong Road,FRANKSTON NORTH,ABCD,2024-07-01 00:00:00,-38.1186188,145.1485293,-38.1186188,145.1485293
Frankston-Dandenong Road,SEAFORD,ABCD,2024-09-01 00:00:00,-38.1196986,145.1469168,-38.1196986,145.1469168
Frankston-Dandenong Road,BANGHOLME,C,2024-08-01 00:00:00,-38.05621,145.2070277,-38.05621,145.2070277
Frankston-Dandenong Road,FRANKSTON,C,2024-09-01 00:00:00,-38.1272063,145.1360748,-38.1272063,145.1360748
Frankston-Flinders Road,BITTERN,ABC,2024-09-01 00:00:00,-38.3433012,145.1700459,-38.3433012,145.1700459
